bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1609419,MN,HF4492,"Omnibus environment, natural resources, and tourism bill.",2022-03-21,H,"Committee report, to adopt as amended and re-refer to Ways and Means",2022-04-19,https://legiscan.com/MN/text/HF4492/id/2571791
1604435,MN,SF3831,"Supplemental appropriations provision for various transportation-related purposes to the Department of Transportation, Metropolitan Council and the Department of Public Safety",2022-03-09,S,Referred to Transportation Finance and Policy,2022-03-09,https://legiscan.com/MN/text/SF3831/id/2541960
278097,MN,HF600,"Taxes reduced, efficiency permitting provided, and environmental review requirements modified.",2011-02-17,H,Author added Downey,2011-02-21,https://legiscan.com/MN/text/HF600/id/178915
216910,MN,SF1,Job creation; business tax reductions; department of natural resources (DNR) permitting efficiency; environmental review requirements modifications,2011-01-10,S,"Secretary of State, Filed ",2011-07-20,https://legiscan.com/MN/text/SF1/id/109117
1338016,MN,HF3254,"Natural Gas Innovation Act established, natural gas utility development of alternative resources encouraged, renewable natural gas rate options and renewable natural gas credits provided, and renewable natural gas inventory required.",2020-02-13,H,"Introduction and first reading, referred to Energy and Climate Finance and Policy Division",2020-02-13,https://legiscan.com/MN/text/HF3254/id/2134173
1338377,MN,HF3209,"Utilities required to analyze economics of resting nonrenewable generating facilities to seasonal operation, and Public Utilities Commission provided process for seasonable operations pilot project approval.",2020-02-13,H,"Introduction and first reading, referred to Energy and Climate Finance and Policy Division",2020-02-13,https://legiscan.com/MN/text/HF3209/id/2134537
1350694,MN,HF3781,Solar energy incentive program modified.,2020-02-26,H,"Introduction and first reading, referred to Energy and Climate Finance and Policy Division",2020-02-26,https://legiscan.com/MN/text/HF3781/id/2152087
1354017,MN,HF4039,Energy source provisions modified relating to state government.,2020-03-02,H,"Introduction and first reading, referred to Energy and Climate Finance and Policy Division",2020-03-02,https://legiscan.com/MN/text/HF4039/id/2157928
1363811,MN,HF4588,"Energy; net zero emissions project established, report required, solar energy incentive program modified, utility ratepayer relief bill credit provided, and money appropriated.",2020-04-28,H,Author added Baker,2020-05-05,https://legiscan.com/MN/text/HF4588/id/2180628
961844,MN,HF1265,"Environment and natural resources trust fund money appropriated, county no net gain of state lands provided, and requirements for receipt of fund money modified.",2017-02-15,H,Author stricken Ecklund.,2018-03-01,https://legiscan.com/MN/text/HF1265/id/1609491
1357055,MN,SF4219,Building codes adoption without prior legislative approval prohibition; moratorium on adoption of new or amended building codes authorization; energy code changes to be offset by savings; building code inspection requirements clarification,2020-03-09,S,Referred to Jobs and Economic Growth Finance and Policy,2020-03-09,https://legiscan.com/MN/text/SF4219/id/2164123
