bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
826320,HI,HB2085,Electricity; Transportation; Fossil Fuels; Hawaii Clean Energy Initiative Program; Hawaii State Planning Act,2016-01-25,H,The committee on TRE deferred the measure.,2016-03-15,https://legiscan.com/HI/text/HB2085/id/1360296
931059,HI,SB1150,Relating To Preserving Coral Reefs.,2017-01-25,S,Conference committee meeting to reconvene on 04-28-17 5:45PM in conference room 309.,2017-04-28,https://legiscan.com/HI/text/SB1150/id/1583311
1042730,HI,SB1150,Relating To Preserving Coral Reefs.,2017-01-25,S,Received notice of discharge of conferees (Hse. Com. No. 385).,2018-03-15,https://legiscan.com/HI/text/SB1150/id/1703865
1066742,HI,SB2672,Relating To Sustainable Development Goals.,2018-01-19,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on EDB with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Fukumoto, Har, Holt, Nakashima, Souki, Tokioka excused (7).",2018-03-16,https://legiscan.com/HI/text/SB2672/id/1762522
690332,HI,HB5,Environmental Impact Statement; Environmental Assessment; Climate Change Analysis,2015-01-22,H,"Referred to EEP, FIN, referral sheet 1",2015-01-26,https://legiscan.com/HI/text/HB5/id/1083299
806281,HI,HB5,Environmental Impact Statement; Environmental Assessment; Climate Change Analysis,2015-01-22,H,Carried over to 2016 Regular Session.,2015-12-17,https://legiscan.com/HI/text/HB5/id/1283760
1066824,HI,SB2663,Relating To Sustainable Development Goals.,2018-01-19,S,"Referred to HHS/AGR, JUD, FIN, referral sheet 36",2018-03-08,https://legiscan.com/HI/text/SB2663/id/1749433
597686,HI,HB1941,Environmental Impact Statements; Climate Change; Sea Level Rise,2014-01-21,H,The committee(s) on EEP recommend(s) that the measure be deferred.,2014-02-06,https://legiscan.com/HI/text/HB1941/id/929133
1419693,HI,SB488,Relating To The Employees' Retirement System.,2021-01-22,S,"Referred to LCA, WAM.",2021-01-27,https://legiscan.com/HI/text/SB488/id/2256157
1540960,HI,SB488,Relating To The Employees' Retirement System.,2021-01-22,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB488/id/2459391
585610,HI,HB1512,Climate Change; Sea Level Rise,2014-01-15,H,"Passed Second Reading and referred to the committee(s) on FIN with Representative(s) Fale, Har, Tokioka voting aye with reservations; Representative(s) Hanohano, McDermott, Say voting no (3) and Representative(s) Cachola, Carroll, Mizuno, Oshiro excused (4).",2014-02-12,https://legiscan.com/HI/text/HB1512/id/913751
593413,HI,SB2334,Climate Change; Sea Level Rise,2014-01-17,S,"Referred to ENE, WAM.",2014-01-21,https://legiscan.com/HI/text/SB2334/id/923398
1289521,HI,SB908,Relating To Sustainability.,2019-01-18,S,Received notice of all Senate conferees being discharged (Sen. Com. No. 535).,2020-06-22,https://legiscan.com/HI/text/SB908/id/2076006
1163705,HI,SB908,Relating To Sustainability.,2019-01-18,S,Received notice of Senate conferees (Sen. Com. No. 918).,2019-04-18,https://legiscan.com/HI/text/SB908/id/1969143
1424363,HI,HB1149,Relating To Land Use.,2021-01-27,H,"Act 153, on 07/01/2021 (Gov. Msg. No. 1255).",2021-07-02,https://legiscan.com/HI/text/HB1149/id/2381562
1069590,HI,HB2469,Relating To Critical Energy Infrastructure.,2018-01-24,H,"Report adopted. referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Ing, Nakamura, Onishi, Woodson excused (5).",2018-02-16,https://legiscan.com/HI/text/HB2469/id/1732888
367637,HI,SB722,"Environmental Response, Energy, and Food Security Tax; Energy Security Special Fund; Agricultural Development and Food Security Special Fund",2011-01-21,,Carried over to 2012 Regular Session.,2011-12-01,https://legiscan.com/HI/text/SB722/id/536818
1573950,HI,HB2431,Relating To Sustainable Food Systems.,2022-01-26,H,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2022-03-22,https://legiscan.com/HI/text/HB2431/id/2553720
1314492,HI,SB2531,Relating To Forestry.,2020-01-17,S,"Referred to WLH, FIN, referral sheet 36",2020-03-09,https://legiscan.com/HI/text/SB2531/id/2157388
1562391,HI,HB1436,Relating To Development Rights.,2022-01-19,H,Transmitted to Governor.,2022-05-04,https://legiscan.com/HI/text/HB1436/id/2577059
1314393,HI,SB2500,Relating To Hawaii Technology Development Corporation.,2020-01-17,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cabanilla Arakawa, Matayoshi excused (2).",2020-06-25,https://legiscan.com/HI/text/SB2500/id/2196756
1066581,HI,SB2661,Relating To Sustainable Development Goals.,2018-01-19,S,Received notice of discharge of conferees (Hse. Com. No. 687).,2018-04-27,https://legiscan.com/HI/text/SB2661/id/1768171
