Bill ID,State,Legislative Session,Bill Number,Bill Title,Bill,Database URL,Date of Intro,Chamber of Origin,Sponsors,List of Status
ocd-bill/a6027839-a95a-4869-bbe5-ef5e4796a651,CA,2021-2022 Regular Session,AB 1789,Outdoor recreation: California Trails Commission: Trails Corps Program: grant program., ,https://openstates.org/ca/bills/20212022/AB1789,2022-02-04 12:13:28.419341+00:00,Assembly,Steve Bennett,"Read first time. To print., From printer. May be heard in committee March 6."
ocd-bill/31cc7264-6bda-42b5-8ed9-944c8dfdbbd5,CA,2021-2022 Regular Session,SB 922,California Environmental Quality Act: exemptions: transportation-related projects., ,https://openstates.org/ca/bills/20212022/SB922,2022-02-04 12:12:08.998599+00:00,Senate,Scott Wiener,"Introduced. Read first time. To Com. on RLS. for assignment. To print., From printer. May be acted upon on or after March 6."
ocd-bill/21c5193d-ef11-4c6e-8834-2fb96673dd9c,WA,2021-2022 Regular Session,HB 1682,"Concerning a compliance pathway specific to emissions-intensive, trade-exposed businesses for achieving their proportionate share of the state's emissions reduction limits through 2050.","http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bill%20Reports/House/1682%20HBA%20ENVI%2022.htm, http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bill%20Reports/House/1682%20HBR%20ENVI%2022.htm",https://openstates.org/wa/bills/2021-2022/HB1682,2021-12-22 08:23:04.418229+00:00,House,"Joe Fitzgibbon, Alex Ramel, Davina Duerr, Liz Berry, Nicole Macri, Timm Ormsby, David Hackney","Prefiled for introduction., First reading, referred to Environment & Energy., Public hearing in the House Committee on Environment & Energy at 8:00 AM., Executive action taken in the House Committee on Environment & Energy at 8:00 AM., ENVI - Majority; 1st substitute bill be substituted, do pass., Minority; do not pass., Referred to Appropriations., Scheduled for public hearing in the House Committee on Environment & Energy at 08:00 AM, Scheduled for public hearing in the House Committee on Environment & Energy at 08:00 AM"
ocd-bill/2b5c0cc4-1635-4762-b076-83f1a32498e1,WA,2021-2022 Regular Session,SB 5872,Recognizing that power plants that comply with the state greenhouse gas emissions performance standard are consistent with Washington's long-term policy for electricity., ,https://openstates.org/wa/bills/2021-2022/SB5872,2022-01-14 21:17:26.600436+00:00,Senate,"Sharon Brown, Shelly Short, Keith Wagoner","First reading, referred to Environment, Energy & Technology."
ocd-bill/a5ad445a-d20b-4c63-bfaa-cfa943e2bea4,VA,2022 Regular Session,HB 892,Regional Greenhouse Gas Initiative (RGGI); preexisting contracts.,https://lis.virginia.gov/cgi-bin/legp604.exe?221+oth+HB892F122+PDF,https://openstates.org/va/bills/2022/HB892,2022-01-21 19:26:38.932949+00:00,House,Terry G. Kilgore,"Prefiled and ordered printed; offered 01/12/22 22101448D, Referred to Committee on Commerce and Energy, Impact statement from DPB (HB892), Reported from Commerce and Energy (12-Y 10-N)"
ocd-bill/b89ca146-b7dd-4e28-973e-4056be358d2a,VA,2022 Regular Session,HB 969,Comprehensive plan; adoption of an environmental justice strategy., ,https://openstates.org/va/bills/2022/HB969,2022-01-21 19:27:14.768755+00:00,House,Shelly A. Simonds,"Prefiled and ordered printed; offered 01/12/22 22102311D, Referred to Committee on Counties, Cities and Towns, Assigned CC & T sub: Subcommittee #2, Stricken from docket by Counties, Cities and Towns (22-Y 0-N)"
ocd-bill/603ab444-799f-4211-a101-ed1735aecd34,HI,2022 Regular Session,SB 2731,RELATING TO THE BERNICE PAUAHI BISHOP MUSEUM.,https://capitol.hawaii.gov/Session2022/Testimony/SB2731_TESTIMONY_LCA_02-04-22_.PDF,https://openstates.org/hi/bills/2022 Regular Session/SB2731,2022-01-22 13:15:46.449672+00:00,Senate,Brian T. Taniguchi,"Introduced., Passed First Reading., Referred to LCA, WAM., The committee(s) on LCA has scheduled a public hearing on 02-04-22 3:00PM; Conference Room 225 & Videoconference., The committee(s) on  LCA recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in LCA were as follows: 5 Aye(s): Senator(s) Taniguchi, Ihara, Chang, Keohokalole, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
ocd-bill/58ad2ca3-5f4a-4d1e-93dc-de2df984b3a2,HI,2022 Regular Session,SB 264,RELATING TO CLIMATE CHANGE., ,https://openstates.org/hi/bills/2022 Regular Session/SB264,2021-12-29 00:48:10.105749+00:00,Senate,Donovan M. Dela Cruz,"Introduced., Passed First Reading., Referred to AEN, WAM., Carried over to 2022 Regular Session., The committee(s) on AEN has scheduled a public hearing on 02-09-22 1:00PM; Conference Room 224 & Videoconference."
ocd-bill/c137b80b-51dc-4f97-8239-8fbf7ed765ed,HI,2022 Regular Session,SB 2862,RELATING TO EDUCATION.,https://capitol.hawaii.gov/Session2022/Testimony/SB2862_TESTIMONY_EDU_02-04-22_.PDF,https://openstates.org/hi/bills/2022 Regular Session/SB2862,2022-01-22 13:16:17.217106+00:00,Senate,"Maile S.L. Shimabukuro, Mike Gabbard, Bennette E. Misalucha, Dru Mamo Kanuha, Gilbert S.C. Keith-Agaran, Gil Riviere, Glenn Wakai","Introduced., Passed First Reading., Referred to EDU, WAM., The committee(s) on EDU has scheduled a public hearing on 02-04-22 3:00PM; Conference Room 229 + videoconference., The committee(s) on  EDU recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDU were as follows: 5 Aye(s): Senator(s) Kidani, Kim, Dela Cruz, Kanuha, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
ocd-bill/48985fec-a91b-438c-befa-7a41cab89007,HI,2022 Regular Session,SB 2724,RELATING TO SEA LEVEL RISE ADAPTATION.,https://capitol.hawaii.gov/Session2022/Testimony/SB2724_TESTIMONY_WTL_02-04-22_.PDF,https://openstates.org/hi/bills/2022 Regular Session/SB2724,2022-01-22 13:13:32.675133+00:00,Senate,"Sharon Y. Moriwaki, Laura Acasio, Mike Gabbard, Gilbert S.C. Keith-Agaran, Chris Lee, Bennette E. Misalucha, Karl Rhoads, Les Ihara, Joy A. San Buenaventura, Maile S.L. Shimabukuro","Introduced., Passed First Reading., Referred to WTL, WAM., The committee(s) on WTL has scheduled a public hearing on 02-04-22 1:15PM; Conference Room 229 & Videoconference., The committee(s) on  WTL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WTL were as follows: 4 Aye(s): Senator(s) Inouye, Misalucha, Riviere, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Keith-Agaran."
ocd-bill/1e0138b3-8698-4069-bf9a-c620054837ba,HI,2022 Regular Session,SB 2288,RELATING TO COMPOSTING.,https://capitol.hawaii.gov/Session2022/Testimony/SB2288_TESTIMONY_AEN_02-04-22_.PDF,https://openstates.org/hi/bills/2022 Regular Session/SB2288,2022-01-21 06:57:39.355865+00:00,Senate,Ronald D. Kouchi,"Introduced., Passed First Reading., Referred to AEN, WAM., The committee(s) on AEN has scheduled a public hearing on 02-04-22 1:00PM; Conference Room 224 & Videoconference., The committee(s) on AEN recommend(s) that the measure be PASSED, UNAMENDED.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Acasio, Rhoads, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Nishihara."
ocd-bill/359fb990-9a19-418b-be36-045457fbcdc0,HI,2022 Regular Session,SB 2054,RELATING TO CLIMATE CHANGE MITIGATION., ,https://openstates.org/hi/bills/2022 Regular Session/SB2054,2022-01-15 06:48:48.109513+00:00,Senate,Ronald D. Kouchi,"Pending Introduction., Introduced and passed First Reading., Referred to AEN, WAM., The committee(s) on AEN has scheduled a public hearing on 02-09-22 1:00PM; Conference Room 224 & Videoconference."
