people_id,party,role,name
5711,D,Sen,Matthew Lesser
5768,,Jnt,Judiciary Committee
5802,D,Rep,Mae Flexer
12653,D,Rep,James Albis
5726,R,Rep,Jason Perillo
5738,D,Rep,Auden Grogins
5674,D,Rep,Elizabeth Ritter
5695,D,Rep,Paul Davis
5710,D,Rep,Elissa Wright
5659,D,Rep,Bruce Morris
5724,D,Rep,Emil Altobello
12657,R,Rep,Noreen Kokoruda
5694,D,Rep,Russell Morin
10809,R,Rep,Prasad Srinivasan
5750,D,Rep,Jason Rojas
5792,D,Rep,Andrew Fleischmann
10438,R,Rep,Christopher Davis
14845,R,Rep,David Rutigliano
5746,R,Rep,Anthony D'Amelio
5784,D,Rep,Christopher Wright
5812,R,Rep,Linda Bacchiochi
13073,D,Rep,Daniel Fox
11152,R,Rep,Michael Molgano
10803,R,Rep,Daniel Carter
5697,D,Rep,Elizabeth Boukus
5473,D,Rep,Mary Fritz
14406,D,Sen,Dante Bartolomeo
5645,D,Sen,Edward Meyer
5646,D,Sen,Anthony Musto
5771,D,Sen,Elizabeth Bye
5636,D,Sen,Joseph Crisco
5725,D,Rep,Theresa Conroy
5825,R,Rep,John Piscopo
15294,D,Rep,Michael D'Agostino
22092,D,Rep,Brandon Chafee
5756,R,Rep,Olivia Floren
5673,D,Rep,Patricia Widlitz
5644,D,Sen,Gary LeBeau
5633,D,Sen,Toni Harp
5648,D,Sen,Andrea Stillman
5676,D,Rep,Roberta Willis
5629,,Jnt,"Finance, Revenue and Bonding Committee"
5829,D,Sen,Joan Hartley
22096,D,Rep,Jaime Foster
5741,,Jnt,Public Safety and Security Committee
16791,R,Rep,J.P. Sredzinski
18279,R,Rep,William Buckbee
10812,R,Rep,Dave Yaccarino
15088,R,Rep,Tom O'Dea
11373,R,Rep,Timothy Ackert
5791,R,Rep,Themis Klarides
5763,R,Rep,Rosa Rebimbas
5708,D,Rep,Louis Esposito
5638,D,Sen,Paul Doyle
5635,D,Sen,Eric Coleman
15295,D,Rep,Thomas Vicino
20574,D,Rep,Pat Wilson Pheanious
5722,,Jnt,Human Services Committee
5766,D,Rep,Jeffrey Berger
5669,R,Sen,Michael McLachlan
5690,R,Sen,Robert Kane
14405,R,Sen,Arthur Linares
10441,R,Rep,Gail Lavielle
10444,D,Rep,Daniel Rovero
5742,D,Rep,Stephen Dargan
16235,R,Rep,Sam Belsito
5665,D,Rep,David Baram
5682,R,Rep,Pamela Sawyer
12773,D,Rep,Joseph Verrengia
10810,R,Rep,Al Adinolfi
14397,R,Rep,Cecilia Buck-Taylor
12651,D,Sen,Theresa Gerratana
5630,D,Sen,Donald Williams
5800,D,Rep,Christopher Donovan
5747,R,Rep,David Labriola
5641,D,Sen,Edwin Gomes
5828,D,Rep,Brendan Sharkey
5729,,Jnt,Commerce Committee
5664,D,Rep,Toni Walker
11269,D,Sen,Gayle Slossberg
5811,D,Sen,Andrew Maynard
5660,D,Rep,Peggy Sayers
5786,D,Sen,Andres Ayala
5653,D,Rep,Charles Clemons
5705,D,Rep,Ernest Hewett
5717,D,Rep,Timothy Larson
5783,D,Rep,Terry Backer
12902,D,Rep,Philip Miller
5773,R,Rep,Fred Camillo
10804,R,Rep,Brenda Kupchick
5814,D,Rep,Edward Moukawsher
5672,D,Rep,Lonnie Reed
5748,D,Rep,Diana Urban
5765,D,Rep,Kimberly Fawcett
5753,,Jnt,Energy and Technology Committee
5780,,Jnt,Appropriations Committee
5743,D,Rep,Linda Orange
14403,D,Rep,Timothy Bowles
10802,D,Rep,David Kiner
10440,R,Rep,Bill Simanski
14844,D,Rep,David Alexander
15089,D,Rep,Victor Cuevas
15389,R,Rep,Stephen Walko
11153,D,Rep,Brian Becker
