bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1459246,CA,SB757,Solar energy system improvements: consumer protection.,2021-02-19,S,"Chaptered by Secretary of State. Chapter 249, Statutes of 2021.",2021-09-23,https://legiscan.com/CA/text/SB757/id/2434274
1453512,CA,SB449,Climate-related financial risk.,2021-02-16,S,May 20 hearing: Held in committee and under submission.,2021-05-20,https://legiscan.com/CA/text/SB449/id/2380261
908684,CA,SB83,School finance: education omnibus trailer bill.,2017-01-11,S,Re-referred to Com. on BUDGET pursuant to Assembly Rule 97.,2017-06-19,https://legiscan.com/CA/text/SB83/id/1632016
1147485,CA,SB75,Education finance: education omnibus budget trailer bill.,2019-01-10,S,"Chaptered by Secretary of State. Chapter 51, Statutes of 2019.",2019-07-01,https://legiscan.com/CA/text/SB75/id/2044822
